date,country,new_cases,total_cases,new_deaths,total_deaths,weekly_cases,weekly_deaths,weekly_pct_growth_cases,weekly_pct_growth_deaths,biweekly_cases,biweekly_deaths,biweekly_pct_growth_cases,biweekly_pct_growth_deaths,new_cases_per_million,new_deaths_per_million,total_cases_per_million,total_deaths_per_million,weekly_cases_per_million,weekly_deaths_per_million,biweekly_cases_per_million,biweekly_deaths_per_million,total_deaths_per_100k,new_deaths_per_100k,new_cases_7_day_avg_right,new_deaths_7_day_avg_right,new_cases_per_million_7_day_avg_right,new_deaths_per_million_7_day_avg_right,new_deaths_per_100k_7_day_avg_right,cfr,cfr_100_cases,cfr_short_term,days_since_100_total_cases,days_since_5_total_deaths,days_since_1_total_cases_per_million,days_since_0_1_total_deaths_per_million,days_since_100_total_cases_and_5m_pop,GDP,GDP_scaled,country,c1m_school_closing,c2m_workplace_closing,c3m_cancel_public_events,c4m_restrictions_on_gatherings,c5m_close_public_transport,c6m_stay_at_home_requirements,c7m_restrictions_on_internal_movement,c8ev_international_travel_controls,e1_income_support,e2_debt_contract_relief,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h6m_facial_coverings,h7_vaccination_policy,v2a_vaccine_availability__summary,stringency_index,containment_health_index,v2_vaccine_availability__summary,stringency_index_nonvax,stringency_index_vax,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
2020-12-20,United States,235875.0,17530324.0,2949.0,324587.0,1517928.0,18866.0,3.4,6.5,2986410.0,36580.0,22.2,36.7,690.6339,8.634571,51328.19,950.37964,4444.4414,55.239002,8744.106,107.10499,95.037964,0.86345714,216846.86,2695.1428,634.92017,7.8912864,0.7891286,1.8515744,1.8515744,1.3072168,292.0,291.0,287.0,283.0,292.0,22876.13999498298,89.40893609764629,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,556208,0,0,0.0,0.17,0,0.0,0.0,0,1114181.0,0,0.0,0,0.0
2020-12-21,United States,202289.0,17732613.0,2727.0,327314.0,1503064.0,19153.0,1.6,7.7,2983124.0,36931.0,20.5,34.8,592.2953,7.984563,51920.484,958.3642,4400.92,56.07933,8734.485,108.132706,95.83642,0.79845625,214723.42,2736.1428,628.7029,8.0113325,0.8011333,1.8458306,1.8458306,1.3169041,293.0,292.0,288.0,284.0,293.0,22882.62350563833,89.41873282949122,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,614117,0,0,0.0,0.18,0,0.0,0.0,57909,1114181.0,174,0.0,0,0.0
2020-12-22,United States,186429.0,17919042.0,2090.0,329404.0,1508218.0,19206.0,1.6,5.4,2992644.0,37433.0,19.6,35.2,545.8577,6.1194487,52466.344,964.48364,4416.0107,56.234512,8762.359,109.60255,96.448364,0.61194485,215459.72,2743.7144,630.8587,8.033502,0.80335015,1.8382902,1.8382902,1.3278035,294.0,293.0,289.0,285.0,294.0,22889.10497948644,89.42852648367415,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,0,0,0,0.0,0.0,0,0.0,0.0,0,1183704.0,384,0.0,0,0.0
2020-12-23,United States,183553.0,18102595.0,2129.0,331533.0,1493567.0,19380.0,-0.4,6.4,2993106.0,37589.0,18.5,33.1,537.4369,6.2336392,53003.78,970.7173,4373.1133,56.743977,8763.712,110.05931,97.07173,0.6233639,213366.72,2768.5715,624.73047,8.106282,0.81062824,1.8314115,1.8314115,1.3197302,295.0,294.0,290.0,286.0,295.0,22895.58441652736,89.43831706019516,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,1008025,0,0,0.0,0.3,0,0.0,0.0,0,1206878.0,454,0.0,0,0.0
2020-12-24,United States,197759.0,18300354.0,2891.0,334424.0,1492676.0,19513.0,1.5,6.0,2963883.0,37919.0,15.0,31.1,579.0316,8.464749,53582.812,979.18207,4370.5044,57.133396,8678.148,111.025536,97.918205,0.84647495,213239.42,2787.5715,624.3578,8.161914,0.8161914,1.8274182,1.8274182,1.3183925,296.0,295.0,291.0,287.0,296.0,22902.06181676127,89.44810455905453,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,0,0,0,0.0,0.0,0,0.0,0.0,0,1247273.0,575,0.0,0,0.0
2020-12-25,United States,226200.0,18526554.0,3238.0,337662.0,1478610.0,19362.0,-0.8,4.8,2968832.0,37834.0,14.0,26.3,662.30585,9.480753,54245.117,988.6628,4329.3193,56.691273,8692.639,110.77666,98.86628,0.94807535,211230.0,2766.0,618.47424,8.098754,0.80987537,1.8225839,1.8225839,1.3043425,297.0,296.0,292.0,288.0,297.0,22908.537180188,89.45788898025197,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,0,0,0,0.0,0.0,0,0.0,0.0,0,1271510.0,648,0.0,0,0.0
2020-12-26,United States,202550.0,18729104.0,3021.0,340683.0,1434655.0,19045.0,-6.1,-0.3,2962547.0,38150.0,11.1,23.1,593.05945,8.845385,54838.176,997.5082,4200.6206,55.763107,8674.236,111.7019,99.75082,0.8845385,204950.72,2720.7144,600.0887,7.9661584,0.79661584,1.8190032,1.8190032,1.270057,298.0,297.0,293.0,289.0,298.0,22915.01050680742,89.46767032378733,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,1944585,0,0,0.0,0.59,0,0.0,0.0,0,1287668.0,697,0.0,0,0.0
2020-12-27,United States,161342.0,18890446.0,2237.0,342920.0,1360122.0,18333.0,-10.4,-2.8,2878050.0,37199.0,4.7,14.4,472.40387,6.5498595,55310.582,1004.05804,3982.3906,53.6784,8426.832,108.917404,100.40581,0.65498596,194303.14,2619.0,568.91296,7.6683426,0.76683426,1.8153092,1.8153092,1.2461197,299.0,298.0,294.0,290.0,299.0,22921.481796619773,89.47744858966095,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,0,0,0,0.0,0.0,0,0.0,0.0,0,1267651.0,637,0.0,0,0.0
2020-12-28,United States,147119.0,19037565.0,1650.0,344570.0,1304952.0,17256.0,-13.2,-9.9,2808016.0,36409.0,-0.5,8.8,430.7594,4.8311434,55741.34,1008.88916,3820.855,50.52498,8221.774,106.60431,100.888916,0.48311436,186421.72,2465.1428,545.8364,7.217854,0.7217854,1.8099478,1.8099478,1.1579483,300.0,299.0,295.0,291.0,300.0,22927.951049625,89.48722377787274,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,2127143,0,0,0.0,0.64,0,0.0,0.0,0,1272419.0,651,0.0,0,0.0
2020-12-29,United States,154342.0,19191907.0,1903.0,346473.0,1272865.0,17069.0,-15.6,-11.1,2781083.0,36275.0,-2.8,6.1,451.9081,5.571919,56193.246,1014.4611,3726.9053,49.977448,8142.916,106.21196,101.44611,0.5571919,181837.86,2438.4285,532.41504,7.1396356,0.71396357,1.8053079,1.8053079,1.1171601,301.0,300.0,296.0,292.0,301.0,22934.41826582316,89.4969958884228,United States,3,2,2,4,1,2,2,3,2,1,2,3,1,4,1,1,71.76,69.29,1,71.76,71.76,0,0,0,0.0,0.0,0,0.0,0.0,0,1291957.0,710,0.0,0,0.0
