country,date,c1m_school_closing,c2m_workplace_closing,c3m_cancel_public_events,c4m_restrictions_on_gatherings,c5m_close_public_transport,c6m_stay_at_home_requirements,c7m_restrictions_on_internal_movement,c8ev_international_travel_controls,e1_income_support,e2_debt_contract_relief,h1_public_information_campaigns,h2_testing_policy,h3_contact_tracing,h6m_facial_coverings,h7_vaccination_policy,v2a_vaccine_availability__summary,stringency_index,containment_health_index,v2_vaccine_availability__summary,stringency_index_nonvax,stringency_index_vax
United States,2020-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
United States,2020-01-21,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-24,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-25,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-28,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-29,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-30,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-01-31,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-02-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.0,5.95,0,0.0,0.0
United States,2020-02-02,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,9.52,0,5.56,5.56
United States,2020-02-03,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,9.52,0,5.56,5.56
United States,2020-02-04,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,9.52,0,5.56,5.56
United States,2020-02-05,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,9.52,0,5.56,5.56
United States,2020-02-06,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,15.48,0,5.56,5.56
United States,2020-02-07,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,15.48,0,5.56,5.56
United States,2020-02-08,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,15.48,0,5.56,5.56
United States,2020-02-09,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,15.48,0,5.56,5.56
United States,2020-02-10,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,5.56,15.48,0,5.56,5.56
United States,2020-02-11,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-12,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-13,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-14,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-15,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-16,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-17,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-18,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-19,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-20,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-21,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-22,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-23,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-24,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-25,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-26,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-27,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-28,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-02-29,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,8.33,17.26,0,8.33,8.33
United States,2020-03-01,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,11.11,19.05,0,11.11,11.11
United States,2020-03-02,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,11.11,19.05,0,11.11,11.11
United States,2020-03-03,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,11.11,19.05,0,11.11,11.11
United States,2020-03-04,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,11.11,19.05,0,11.11,11.11
United States,2020-03-05,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,20.37,25.0,0,20.37,20.37
United States,2020-03-06,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,20.37,25.0,0,20.37,20.37
United States,2020-03-07,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,20.37,25.0,0,20.37,20.37
United States,2020-03-08,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,20.37,25.0,0,20.37,20.37
United States,2020-03-09,3,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,20.37,25.0,0,20.37,20.37
United States,2020-03-10,3,0,1,0,0,0,0,3,0,0,0,1,1,1,0,0,20.37,25.89,0,20.37,20.37
United States,2020-03-11,3,0,1,1,0,0,0,3,0,0,0,1,1,1,0,0,21.76,26.79,0,21.76,21.76
United States,2020-03-12,3,0,2,2,0,0,0,3,0,0,0,1,1,1,0,0,30.09,32.14,0,30.09,30.09
United States,2020-03-13,3,0,2,2,0,0,0,3,0,0,0,1,1,1,0,0,30.09,32.14,0,30.09,30.09
United States,2020-03-14,3,0,2,2,0,0,1,3,0,0,0,1,1,1,0,0,35.65,35.71,0,35.65,35.65
United States,2020-03-15,3,0,2,2,0,2,1,3,0,0,0,1,1,1,0,0,41.2,39.29,0,41.2,41.2
United States,2020-03-16,3,0,2,2,0,2,1,3,0,0,2,1,1,1,0,0,52.31,46.43,0,52.31,52.31
United States,2020-03-17,3,0,2,2,1,2,1,3,0,0,2,1,1,1,0,0,55.09,48.21,0,55.09,55.09
United States,2020-03-18,3,0,2,2,1,2,1,3,0,0,2,1,1,1,0,0,55.09,48.21,0,55.09,55.09
United States,2020-03-19,3,3,2,2,1,2,2,3,0,0,2,1,1,1,0,0,67.13,55.95,0,67.13,67.13
United States,2020-03-20,3,3,2,2,1,2,2,3,0,0,2,1,1,1,0,0,67.13,55.95,0,67.13,67.13
United States,2020-03-21,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-22,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-23,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-24,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-25,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-26,3,3,2,4,1,2,2,3,0,0,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
United States,2020-03-27,3,3,2,4,1,2,2,3,2,1,2,1,1,1,0,0,72.69,59.52,0,72.69,72.69
