date,state,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used,total_boosters,total_boosters_per_hundred
2020-12-20,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,556208,0,0,0.0,0.17,0,0.0,0.0,0,1114181.0,0,0.0,0,0.0
2020-12-21,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,614117,0,0,0.0,0.18,0,0.0,0.0,57909,1114181.0,174,0.0,0,0.0
2020-12-22,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1183704.0,384,0.0,0,0.0
2020-12-23,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,1008025,0,0,0.0,0.3,0,0.0,0.0,0,1206878.0,454,0.0,0,0.0
2020-12-24,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1247273.0,575,0.0,0,0.0
2020-12-25,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1271510.0,648,0.0,0,0.0
2020-12-26,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,1944585,0,0,0.0,0.59,0,0.0,0.0,0,1287668.0,697,0.0,0,0.0
2020-12-27,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1267651.0,637,0.0,0,0.0
2020-12-28,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,2127143,0,0,0.0,0.64,0,0.0,0.0,0,1272419.0,651,0.0,0,0.0
2020-12-29,AlabamaAlaskaAmerican SamoaArizonaArkansasBureau of PrisonsCaliforniaColoradoConnecticutDelawareDept of DefenseDistrict of ColumbiaFederated States of MicronesiaFloridaGeorgiaGuamHawaiiIdahoIllinoisIndian Health SvcIndianaIowaKansasKentuckyLong Term CareLouisianaMaineMarshall IslandsMarylandMassachusettsMichiganMinnesotaMississippiMissouriMontanaNebraskaNevadaNew HampshireNew JerseyNew MexicoNew York StateNorth CarolinaNorth DakotaNorthern Mariana IslandsOhioOklahomaOregonPennsylvaniaPuerto RicoRepublic of PalauRhode IslandSouth CarolinaSouth DakotaTennesseeTexasUnited StatesUtahVermontVeterans HealthVirgin IslandsVirginiaWashingtonWest VirginiaWisconsinWyoming,0,0,0,0.0,0.0,0,0.0,0.0,0,1291957.0,710,0.0,0,0.0
